English Terms,Spanish Terms,Dictionaries Used,Synonyms Used,Failed Words
"powerful, tool","poderoso, herramienta ","Github, Github",,
"DNA, microarray","DNA, microarray","None, None",,"DNA, microarray"
"while, DNA, microarray","vagar, DNA, microarray","Github, None, None",,"DNA, microarray"
tool,herramienta ,Github,,
technique,técnica ,Github,,
techni,techni,None,,techni
display,monitor ,Github,,
finding,ahínco ,Github,finding->determination,
DNA,DNA,None,,DNA
microarray,microarray,None,,microarray
"microscopic, fluorescent",microscópico,Github,,
pore,poro,Github,,
"fluorescent, cell, number, determination","célula, numerar, ahínco ","Github, Github, Github",,
"v, v, acet","v, v, acet","Chemical Element, Chemical Element, None",,acet
"w, v, irgalan","w, v, irgalan","Chemical Element, Chemical Element, None",,irgalan
"millipore, polycarbonate, filter","millipore, policarbonato , filtrar","None, Github, Github",,millipore
condition,condición ,Github,,
coli,coli,None,,coli
pegfp,pegfp,None,,pegfp
"nonselective, condition, LB, broth","nonselective, condición , LB, caldo de cultivo","None, Github, None, Github",,"nonselective, LB"
"pegfp, plasmid, stability","pegfp, plásmido , estabilidad ","None, Github, Github",,pegfp
ampicillin,ampicilina,Mexican Laws,,
broth,caldo de cultivo,Github,,
stability,estabilidad ,Github,,
impeller,impulsor,Mexican Laws,,
"outlet, diameter, 50, mm","enchufe , diámetro , 50, mm","Github, Github, None, None",,"50, mm"
"diameter, 26, mm","diámetro , 26, mm","Github, None, None",,"26, mm"
consideration,consideración ,Github,,
"3.5, mm","3.5, mm","None, None",,"3.5, mm"
flow,fluir,Github,,
"11, pump","11, bombear","None, Github",,11
width,anchura ,Github,,
"flow, passage, width, 3.5, mm","fluir, pasaje , anchura , 3.5, mm","Github, Github, Github, None, None",,"3.5, mm"
stea,stea,None,,stea
density,concentración,Github,density->concentration,
"pump, flow, model","bombear, fluir, modelo","Github, Github, Github",,
"pa.s, 0.0035, viscosity","pa.s, 0.0035, viscosidad","None, None, Github",,"pa.s, 0.0035"
order,ordenar,Github,,
model,modelo,Github,,
fluid,fluido,Github,,
blood,sangre,Github,,
"pump, flow","bombear, fluir","Github, Github",,
pump,bombear,Github,,
"pump, flow, model, order","bombear, fluir, modelo, ordenar","Github, Github, Github, Github",,
"high, nutritional, value","alto, alimenticio , valor","Github, Github, Github",,
preparation,preparación ,Github,,
"high, nutritional, value, protein, hydrolysate","alto, alimenticio , valor, proteína","Github, Github, Github, Github",,
blood,sangre,Github,,
role,rol ,Github,,
protein,proteína,Github,,
"alkaline, protease","alcalino, proteasa","Github, Github",,
"important, role","importante, rol ","Github, Github",,
alkaline,alcalino,Github,,
value,valor,Github,,
industry,industria ,Github,,
protease,proteasa,Github,,
"reverse, enzymatic, reaction","marcha atrás , reacción de Refor­matskii","Github, Github",,
peptide,péptido,Github,,
"hydrolysis, reverse, enzymatic, reaction","hidrólisis, marcha atrás , reacción de Refor­matskii","Github, Github, Github",,
reaction,reacción de Refor­matskii,Github,,
"certain, condition","cierto , condición ","Github, Github",,
"late, competence, gene","tarde, capacidad , gen","Github, Github, Github",competence->competency,
"transcriptional, regulator","transcriptional, gobernador ","None, Github",regulator->governor,transcriptional
"target, protein, terminus","blanco , proteína, terminación ","Github, Github, Github",terminus->termination,
interaction,interacción ,Github,,
"globular, domain","mundial , esfera ","Github, Github",globular->global,
chain,cadena,Github,,
"chainside, chain, interaction","chainside, cadena, interacción ","None, Github, Github",,chainside
acid,ácido,Github,,
target,blanco ,Github,,
recognition,reconocimiento,Github,recognition->acknowledgment,
protein,proteína,Github,,
amino,amino ,Github,,
domain,esfera ,Github,,
"pdzligand, recognition, specificity","pdzligand, reconocimiento, especificidad ","None, Github, Github",recognition->acknowledgment,pdzligand
"amino, acid","amino , ácido","Github, Github",,
"unidirectional, diffusion",difusión,Github,,
"homogeneous, islet, distribution, hypothesis","catálisis homogéna, islote , distribución , hipótesis ","Github, Github, Github, Github",,
"unidirectional, model",modelo,Github,,
"homogeneous, islet, distribution","catálisis homogéna, islote , distribución ","Github, Github, Github",,
"bioartificial, implantable, pancrea, literature","bioartificial, implantable, pancrea, literatura","None, None, None, Github",,"bioartificial, implantable, pancrea"
hypothesis,hipótesis ,Github,,
"usually, metallic, tube","usually, metálico, metro ","None, Github, Github",,usually
"small, usually, metallic, tube, stent","esmaltín, usually, metálico, metro ","Github, None, Github, Github",,usually
"small, usually, metallic, tube","esmaltín, usually, metálico, metro ","Github, None, Github, Github",,usually
stent,,,,
"metallic, tube","metálico, metro ","Github, Github",,
tube,metro ,Github,,
stagnation,estancamiento,Github,,
hollo,bramar,Github,hollo->bellow,
insulin,insulina,Github,,
cavity,caries ,Github,,
oxygenation,oxigenación ,Github,,
"cylindrical, model, geometry, hollo","cilíndrico, modelo, geometría, bramar","Github, Github, Github, Github",hollo->bellow,
stimulation,estimulación ,Github,,
"m, peptide","m, péptido","None, Github",,m
"central, region","central, región ","Github, Github",,
methyl,,,,
"fig, 1A","higuera , 1A","Github, None",,1A
region,región ,Github,,
"design, methyl, group","diseñar, grupo","Github, Github",,
"molecular, mass","molecular, masa","Github, Github",,
degree,grado ,Github,,
"ab1620, m, inhibitor, peptide","ab1620, m, inhibidor, péptido","None, None, Mexican Laws, Github",,"ab1620, m"
peptide,péptido,Github,,
"ab1620, m","ab1620, m","None, None",,"ab1620, m"
self,yo ,Github,,
ab1620,ab1620,None,,ab1620
"self, association","yo , asociación","Github, Github",,
"solution, ab1620, m","solución , ab1620, m","Github, None, None",,"ab1620, m"
"datum, col","dato , brecha ","Github, Github",col->gap,
equilibrium,equilibrio,Github,,
"guanidinium, isothiocyanate, extraction","guanidinium, extraction","None, None",,"guanidinium, extraction"
buffer,tampón,Mexican Laws,,
subtili,subtili,None,,subtili
bacillus,bacilo,Github,,
competence,capacidad ,Github,competence->competency,
"bacillus, subtili","bacilo, subtili","Github, None",,subtili
"negative, effector","negativo , ","Github, Github",effector->effecter,
yjbd,yjbd,None,,yjbd
"clpcmecacomk, interaction","clpcmecacomk, interacción ","None, Github",,clpcmecacomk
interaction,interacción ,Github,,
effector,,Github,effector->effecter,
clpcmecacomk,clpcmecacomk,None,,clpcmecacomk
"competence, negative, effector","capacidad , negativo , ","Github, Github, Github","competence->competency, effector->effecter",
"bacillus, subtili, competence, negative, effector","bacilo, subtili, capacidad , negativo , ","Github, None, Github, Github, Github","competence->competency, effector->effecter",subtili
subtili,subtili,None,,subtili
"sequence, specific, probe, use","secuencia , específico, sondar, use","Github, Github, Github, None",,use
"wide, range","ancho, rango ","Github, Github",,
"gene, expression, measure, approach, number","gen, expresión, medir, aproximarse, numerar","Github, Github, Github, Github, Github",,
derivative,derivada ,Github,,
part,separarse,Github,,
method,method,Github,,
"heavy, atom, derivative","pesado, átomo, derivada ","Github, Github, Github",,
"heavy, atom","pesado, átomo","Github, Github",,
soak,saturar,Github,,
"test, case, PRON-, part","examinar, estudiar el terreno, PRON-, separarse","Github, Github, None, Github",,PRON-
"quick, soak, method","carne viva , saturar, method","Github, Github, Github",,
"PRON-, part","PRON-, separarse","None, Github",,PRON-
"isomorphous, heavy, atom, derivative","isomorfo, pesado, átomo, derivada ","Github, Github, Github, Github",isomorphous->isomorphic,
test,examinar,Github,,
"test, case","examinar, estudiar el terreno","Github, Github",,
case,estudiar el terreno,Github,,
"quick, soak","carne viva , saturar","Github, Github",,
atom,átomo,Github,,
"acta, crystallographica, section","acta, crystallographica, sección ","None, None, Github",,"acta, crystallographica"
"electric, pump","coche eléctrico , bombear","Github, Github",,
"bore, volume","aburrir, volumen ","Github, Github",,
volume,volumen ,Github,,
"positive, pressure","positivo , presión ","Github, Github",,
"approximately, bore, volume","aproximadamente, aburrir, volumen ","Github, Github, Github",,
submersible,sumergible ,Github,,
pump,bombear,Github,,
pressure,presión ,Github,,
hole,hueco,Github,,
"positive, pressure, electric, pump","positivo , presión , coche eléctrico , bombear","Github, Github, Github, Github",,
"submersible, positive, pressure, electric, pump","sumergible , positivo , presión , coche eléctrico , bombear","Github, Github, Github, Github, Github",,
agar,agar,Mexican Laws,,
"agar, plate","agar, chapar","Mexican Laws, Github",,
colony,colonia ,Github,,
"anaerobic, growth","anerobia, crecimiento","Github, Github",,
time,cronometrar,Github,,
"anaerobic, chamber","anerobia, cámara ","Github, Github",,
"escherichia, coli, dh5a","coli, dh5a","None, None",,"coli, dh5a"
"lead, edge","plomo, filo ","Github, Github",,
"blade, lead, edge","lámina , plomo, filo ","Github, Github, Github",,
case,estudiar el terreno,Github,,
tube,metro ,Github,,
"inlet, tube",metro ,Github,,
"pump, blade, lead, edge","bombear, lámina , plomo, filo ","Github, Github, Github, Github",,
blade,lámina ,Github,,
jet,chorro ,Github,,
"leading, edge","plomo, filo ","Github, Github",leading->lead,
pressure,presión ,Github,,
"suction, leading, edge","succión , plomo, filo ","Github, Github, Github",leading->lead,
"high, velocity, jet","alto, velocidad , chorro ","Github, Github, Github",,
"first, vortex","primero , remolino ","Github, Github",,
separate,separarse,Github,,
edge,filo ,Github,,
particle,partícula,Github,,
"flow, separate","fluir, separarse","Github, Github",,
vortex,remolino ,Github,,
"trailing, edge, suction, leading, edge","arrastrar, filo , succión , plomo, filo ","Github, Github, Github, Github, Github","trailing->drag, leading->lead",
hazard,arriesgar,Github,,
"conventional, method","convencional, method","Github, Github",,
"enzymatic, approach, leather, biotreament","aproximarse, cuero , biotreament","Github, Github, None",,biotreament
approach,aproximarse,Github,,
safety,seguridad ,Github,,
chemical,producto químico ,Github,,
"leather, processing","cuero , proceso","Github, Github",processing->process,
"safety, hazard","seguridad , arriesgar","Github, Github",,
biotreament,biotreament,None,,biotreament
method,method,Github,,
reason,reason,None,,reason
"enzymatic, approach",aproximarse,Github,,
processing,proceso,Github,processing->process,
"leather, processing, conventional, method","cuero , proceso, convencional, method","Github, Github, Github, Github",processing->process,
"leather, biotreament","cuero , biotreament","Github, None",,biotreament
pollution,polución,Github,,
"enzymatic, approach, leather, biotreament, prefera","aproximarse, cuero , biotreament, prefera","Github, Github, None, None",,"biotreament, prefera"
derivative,derivada ,Github,,
method,method,Github,,
"heavy, atom, derivative","pesado, átomo, derivada ","Github, Github, Github",,
"heavy, atom","pesado, átomo","Github, Github",,
soak,saturar,Github,,
D58,D58,None,,D58
section,sección ,Github,,
"quick, soak, method","carne viva , saturar, method","Github, Github, Github",,
"quick, soak","carne viva , saturar","Github, Github",,
"isomorphous, heavy, atom, derivative","isomorfo, pesado, átomo, derivada ","Github, Github, Github, Github",isomorphous->isomorphic,
atom,átomo,Github,,
test,examinar,Github,,
"test, case","examinar, estudiar el terreno","Github, Github",,
case,estudiar el terreno,Github,,
part,separarse,Github,,
"crystallographica, section","crystallographica, sección ","None, Github",,crystallographica
"PDB, entry, 193l, lysozyme, coordinate","PDB, elemento , 193l, lisozima, coordinar","None, Github, None, Github, Github",,"PDB, 193l"
"dif, peak, height","dif, cima , altura","None, Github, Github",,dif
derivative,derivada ,Github,,
"quick, soak, derivative","carne viva , saturar, derivada ","Github, Github, Github",,
fourier,,,,
lysozyme,lisozima,Github,,
soak,saturar,Github,,
dif,dif,None,,dif
193l,193l,None,,193l
"quick, soak, derivative, aucl4, binding","carne viva , saturar, derivada , aucl4, esconder","Github, Github, Github, None, Github",binding->cover,aucl4
"10, d.","10, d.","None, None",,"10, d."
plate,chapar,Github,,
chamber,cámara ,Github,,
growth,crecimiento,Github,,
"coli, dh5a","coli, dh5a","None, None",,"coli, dh5a"
lamin,lamin,None,,lamin
"LB, agar, plate","LB, agar, chapar","None, Mexican Laws, Github",,LB
dh5a,dh5a,None,,dh5a
microorganism,microorganismo,Github,,
"inactivation, parameter",parámetro ,Github,,
"calorimetric, determination","calorimétrico, ahínco ","Github, Github",,
"microorganism, inactivation, parameter","microorganismo, parámetro ","Github, Github",,
"microorganism, inactivation, parameter, calorimetric, determination","microorganismo, parámetro , calorimétrico, ahínco ","Github, Github, Github, Github",,
inactivation,,,,
parameter,parámetro ,Github,,
determination,ahínco ,Github,,
"inactivation, parameter",parámetro ,Github,,
"micro, organism",organismo ,Github,,
"calorimetric, determination","calorimétrico, ahínco ","Github, Github",,
"trailing, edge","arrastrar, filo ","Github, Github",trailing->drag,
"fluid, particle","fluido, partícula","Github, Github",,
"high, velocity","alto, velocidad ","Github, Github",,
suction,succión ,Github,,
"pump, fluid, particle","bombear, fluido, partícula","Github, Github, Github",,
velocity,velocidad ,Github,,
trailing,arrastrar,Github,trailing->drag,
flow,fluir,Github,,
